Realization;FOPR_SIM;FWCT_SIM;WBT_SIM;FPR_SIM
0;0.48994137568755186;0.38129349863726225;1.1671363891717919;0.00012141633561727066
1;0.0;0.0;0.0;0.0
2;0.0;0.0;0.0;0.0
3;0.7461943071616829;0.5326758137718325;3.1265184024468273;0.00378713300128065
4;0.27837641391975604;0.5940960561012851;0.058356458747243246;0.0005022867427803405
5;0.0;0.0;0.0;0.0
6;0.7415726606496734;0.3632938090513227;0.40849751978331944;0.00038602540239283413
7;0.0;0.0;0.0;0.0
8;0.28141218160557097;0.3366511094372803;1.1087799304245487;0.0015260165680897845
9;0.6789283578207662;0.4267135733644854;0.9337088227683565;0.000990829632945674
10;0.0;0.0;0.0;0.0
11;0.4029331766046725;0.30816853062564514;0.6419245090486009;0.00023465228418254765
12;0.2558366147258407;0.2670474712688593;0.5252115915541143;0.0007083054995308017
13;0.0;0.0;0.0;0.0
14;0.43490687057990735;0.4012914575744292;1.02124365517376;0.0005517998620753726
15;0.8749611089524113;0.5675128108050904;2.8857089504830395;0.0019111546238337537
16;0.0;0.0;0.0;0.0
17;0.47630151691730954;0.3372446694942769;0.9045313148174275;0.0006571110749566879
18;0.0;0.0;0.0;0.0
19;0.5395212937646668;0.42018876901124924;1.1379580155136317;0.0007575714753216819
20;0.28936146096154963;0.27066696048360295;0.4668539785305627;0.0008217201690446594
21;0.4017433822343609;236.6712446649362;0.40849780835239635;0.000645012239589227
22;0.0;0.0;0.0;0.0
23;0.0;0.0;0.0;0.0
24;0.0;0.0;0.0;0.0
25;0.0;0.0;0.0;0.0
26;0.0;0.0;0.0;0.0
27;0.0;0.0;0.0;0.0
28;0.29214677662011945;0.27863617038702215;0.4376761820105567;7.710723825584727e-05
29;0.858774032390239;0.4039240380739004;0.5543899652122743;0.00010063144941493763
30;0.41457481803149915;0.37284962634377106;0.9628863307192853;0.0014732446341870107
31;0.35567849494966125;0.3059035429096184;0.7002815449339982;0.0010565912964407788
32;0.43533619937193807;0.34124453916588415;0.4084978083523965;0.001459388328381053
33;0.0;0.0;0.0;0.0
34;0.0;0.0;0.0;0.0
35;0.0;0.0;0.0;0.0
36;0.6706024432317443;0.5000498743204511;1.4589198371843164;0.00035313106977171967
37;1.4380367189662595;0.6325217288047188;2.2356568933789562;0.0024290549767185163
38;0.0;0.0;0.0;0.0
39;0.795188838197279;0.5371429367357643;2.086440997889466;0.0018754250228615735
40;0.6067929016545751;0.4883701009969196;1.7894869691541242;0.0008302599106727346
41;0.44745444986421856;0.35260485585453943;0.6711046141212231;0.0024005026657221078
42;1.2728490413795877;0.5608533536937956;1.3713864476242983;0.006668999101023291
43;1.370128077867541;0.7197022816117107;3.9449949556551074;0.003912182820503725
44;0.6452744524162479;1286.192668236471;0.9337091113374334;0.00012173048180522239
45;0.0;0.0;0.0;0.0
46;0.0;0.0;0.0;0.0
47;0.662452780708992;0.44146472242721474;1.975609118185525;0.011238501316486358
48;0.5596851860228085;0.3436110995313297;0.14589244542895494;0.0012688414283081046
49;1.143119840164809;0.6281594524967482;4.129607022706237;0.019082510237253266
50;0.0;0.0;0.0;0.0
51;0.0;0.0;0.0;0.0
52;0.40332889802476796;847.7665137168951;0.3793194346942361;0.002439818229798859
53;0.5767642982505482;0.4459223842829082;1.604811128336963;0.0005198405740133296
54;0.0;0.0;0.0;0.0
55;0.0;0.0;0.0;0.0
56;0.282234013725138;0.2748241394900593;0.4084978083523965;9.19434435132379e-05
57;0.0;0.0;0.0;0.0
58;0.41814079363850376;0.4288216244980716;0.08753512097448035;0.0003069801042610643
59;0.9824318123165839;0.6413316942192285;6.322100042107171;0.001849040532280313
60;0.0;0.0;0.0;0.0
61;0.0;0.0;0.0;0.0
62;0.0;0.0;0.0;0.0
63;0.0;0.0;0.0;0.0
64;0.7039726306485116;0.5270667525473356;2.1248535820136456;0.0005730956376033697
65;1.0233611722872928;0.5842527744689501;1.7525515701354304;0.0007186931450364163
66;0.0;0.0;0.0;0.0
67;0.0;0.0;0.0;0.0
68;0.5295127289121395;0.4274249937167671;1.1963127428464126;0.002849395801164172
69;0.0;0.0;0.0;0.0
70;0.31258107571281;2218.7874813326325;0.6419250861867546;0.00039401877566520713
71;0.7013351103629943;0.4196135985361899;1.2546694901627329;0.0017684444991187813
72;0.7568639030068549;0.48876050116342407;1.7525489730137367;0.0074203772013494255
73;0.0;0.0;0.0;0.0
74;0.0;0.0;0.0;0.0
75;0.5481069231117305;0.5078539159778644;3.4988215686013504;0.0004391901136307224
76;0.34202826740501613;0.3515039706945449;0.9045310262483504;0.00043141170067586014
77;0.0;0.0;0.0;0.0
78;0.0;0.0;0.0;0.0
79;0.0;0.0;0.0;0.0
80;0.38477369390522603;0.3928111911985338;2.0495044445944632;0.0006027100865459998
81;0.7196638012355548;0.49799635750377347;1.196314185691798;0.0008024478328902459
82;2.687519864546129;0.9194117269203176;2.3656673625135882;0.00042605969210824583
83;0.45621596246586854;1.7312944912610557;0.4084980969214735;0.0005127512688084054
84;0.6161471756967074;0.42877538102704854;2.1987206286530316;0.000436404437631425
85;0.43476475277562976;1.4963817162328317;0.02917837365816018;0.0054957154536629475
86;0.3161249212458498;0.3662941368474769;1.4005633784370732;0.0004265882442844792
87;1.6783123398783388;0.7813438105218212;4.20501618249345;0.00017153072823730965
88;0.4265246930548964;0.41816733202083856;1.6048102626297318;0.00210773315386404
89;1.0041560312087217;0.6145022190210534;3.7588419297324607;0.004960661916827667
90;0.38728671859827307;0.3617762083087412;0.7878158002012473;0.0007534384891871202
91;0.0;0.0;0.0;0.0
92;0.0;0.0;0.0;0.0
93;0.4759736653968232;0.42885210041956506;1.3130305660152093;0.004426084064475172
94;0.0;0.0;0.0;0.0
95;0.9343726996528418;0.5860298141783672;2.1987223600674937;0.0065406348143357915
96;0.5803265974719739;0.4042359172088749;1.4589198371843164;0.0004494033070309093
97;0.40759530559460405;0.33518104746186816;1.1379522441320902;0.0015266333286223805
98;0.0;0.0;0.0;0.0
99;0.0;0.0;0.0;0.0
